iter	Passed	Remaining
0	3	370
1	5	270
2	7	244
3	9	229
4	11	212
5	12	201
6	14	191
7	15	177
8	16	168
9	18	163
10	19	158
11	21	154
12	22	152
13	24	149
14	26	149
15	27	146
16	29	145
17	31	143
18	33	143
19	35	140
20	36	137
21	38	135
22	39	133
23	41	131
24	43	129
25	45	128
26	46	126
27	48	124
28	50	123
29	52	122
30	55	123
31	61	130
32	63	129
33	67	130
34	71	132
35	74	132
36	77	131
37	80	130
38	82	129
39	84	127
40	86	124
41	87	120
42	89	118
43	91	116
44	93	114
45	96	113
46	99	112
47	101	110
48	123	128
49	125	125
50	127	122
51	128	118
52	130	115
53	132	112
54	133	108
55	134	105
56	135	102
57	137	99
58	139	97
59	141	94
60	143	91
61	144	88
62	147	86
63	149	84
64	151	81
65	153	79
66	155	76
67	157	74
68	159	71
69	161	69
70	163	66
71	165	64
72	167	61
73	168	59
74	170	56
75	172	54
76	174	52
77	176	49
78	178	47
79	180	45
80	182	42
81	184	40
82	186	38
83	188	35
84	191	33
85	193	31
86	195	29
87	196	26
88	198	24
89	200	22
90	201	19
91	202	17
92	204	15
93	206	13
94	208	10
95	209	8
96	211	6
97	212	4
98	215	2
99	216	0
